Tour,Lot,Zone,Code,Used,Note
1,Cooms Cookie,4,,,
2,Smood Goodies,2,,,
3,Pause Migros,5,,,
4,Smood Goodies,6,,,
5,Smood Goodies,6,,,
6,Pause Migros,5,,,
7,Bon cadeau 5 CHF,7,,,
8,Smood Goodies,6,,,
9,Pause Migros,5,,,
10,Caviste,1,,,
11,Bon cadeau FDL,7,,,
12,Pause Migros,5,,,
13,Bon cadeau 10 CHF,7,,,
14,Smood Goodies,6,,,
15,Smood Goodies,6,,,
16,Pause Migros,5,,,
17,Bon cadeau 5 CHF,7,,,
18,Pause Migros,5,,,
19,Bon cadeau FDL,7,,,
20,Caviste,1,,,
21,Pause Migros,5,,,
22,Bon cadeau 10 CHF,7,,,
23,Smood Goodies,6,,,
24,Pause Migros,5,,,
25,100chf,8,,,
26,Bon cadeau 5 CHF,7,,,
27,Pause Migros,5,,,
28,Smood Goodies,6,,,
29,Caviste,1,,,
30,Pause Migros,5,,,
31,Smood Goodies,6,,,
32,Bon cadeau FDL,7,,,
33,Cooms Cookie,4,,,
34,Pause Migros,5,,,
35,Smood Goodies,6,,,
36,Pause Migros,5,,,
37,Smood Goodies,6,,,
38,Bon cadeau 10 CHF,7,,,
39,Pause Migros,5,,,
40,Caviste,1,,,
41,Smood Goodies,6,,,
42,Pause Migros,5,,,
43,Smood Goodies,6,,,
44,Bon cadeau 5 CHF,7,,,
45,Pause Migros,5,,,
46,Smood Goodies,6,,,
47,Bon cadeau FDL,7,,,
48,Pause Migros,5,,,
49,Bon cadeau 5 CHF,7,,,
50,Caviste,1,,,
51,Pause Migros,5,,,
52,Smood Goodies,6,,,
53,Bon cadeau 10 CHF,7,,,
54,Pause Migros,5,,,
55,Bon cadeau 5 CHF,7,,,
56,Smood Goodies,6,,,
57,Pause Migros,5,,,
58,Bon cadeau FDL,7,,,
59,Caviste,1,,,
60,Pause Migros,5,,,
61,Bon cadeau 10 CHF,7,,,
62,Smood Goodies,6,,,
63,Pause Migros,5,,,
64,Smood Goodies,6,,,
65,Bon cadeau 5 CHF,7,,,
66,Cooms Cookie,4,,,
67,Pause Migros,5,,,
68,Smood Goodies,6,,,
69,Pause Migros,5,,,
70,Bon cadeau FDL,7,,,
71,Smood Goodies,6,,,
72,Pause Migros,5,,,
73,Smood Goodies,6,,,
74,Bon cadeau 10 CHF,7,,,
75,Pause Migros,5,,,
76,Smood Goodies,6,,,
77,Bon cadeau 5 CHF,7,,,
78,Pause Migros,5,,,
79,Smood Goodies,6,,,
80,Bon cadeau FDL,7,,,
81,Pause Migros,5,,,
82,Smood Goodies,6,,,
83,Bon cadeau 10 CHF,7,,,
84,Pause Migros,5,,,
85,Smood Goodies,6,,,
86,Bon cadeau 5 CHF,7,,,
87,Pause Migros,5,,,
88,Bon cadeau FDL,7,,,
89,Bon cadeau 10 CHF,7,,,
90,Pause Migros,5,,,
91,Bon cadeau 5 CHF,7,,,
92,Bon cadeau 10 CHF,7,,,
93,Bon cadeau FDL,7,,,
94,Bon cadeau 5 CHF,7,,,
95,Bon cadeau 10 CHF,7,,,
96,Bon cadeau FDL,7,,,
97,Bon cadeau 5 CHF,7,,,
98,Bon cadeau 10 CHF,7,,,
99,Bon cadeau FDL,7,,,
100,Bon cadeau 5 CHF,7,,,
101,Bon cadeau 10 CHF,7,,,
102,Bon cadeau FDL,7,,,
103,Bon cadeau 5 CHF,7,,,
104,Bon cadeau 10 CHF,7,,,
105,Bon cadeau FDL,7,,,
106,Bon cadeau 5 CHF,7,,,
107,Bon cadeau 10 CHF,7,,,
108,Bon cadeau FDL,7,,,
109,Bon cadeau 5 CHF,7,,,
110,Bon cadeau 10 CHF,7,,,
111,Bon cadeau FDL,7,,,
112,Bon cadeau 5 CHF,7,,,
113,Bon cadeau 10 CHF,7,,,
114,Bon cadeau FDL,7,,,
115,Bon cadeau 5 CHF,7,,,
116,Bon cadeau 10 CHF,7,,,
117,Bon cadeau FDL,7,,,
118,Bon cadeau 5 CHF,7,,,
119,Bon cadeau 10 CHF,7,,,
120,Bon cadeau FDL,7,,,
121,Bon cadeau 5 CHF,7,,,
122,Bon cadeau 10 CHF,7,,,
123,Bon cadeau FDL,7,,,
124,Bon cadeau 5 CHF,7,,,
125,Bon cadeau 10 CHF,7,,,
126,Bon cadeau FDL,7,,,
127,Bon cadeau 5 CHF,7,,,
128,Bon cadeau 10 CHF,7,,,
129,Bon cadeau FDL,7,,,
130,Bon cadeau 5 CHF,7,,,
131,Bon cadeau 10 CHF,7,,,
132,Bon cadeau FDL,7,,,
133,Bon cadeau 5 CHF,7,,,
134,Bon cadeau 10 CHF,7,,,
135,Bon cadeau FDL,7,,,
136,Bon cadeau 5 CHF,7,,,
137,Bon cadeau 10 CHF,7,,,
138,Bon cadeau FDL,7,,,
139,Bon cadeau 5 CHF,7,,,
140,Bon cadeau 10 CHF,7,,,
141,Bon cadeau FDL,7,,,
142,Bon cadeau 5 CHF,7,,,
143,Bon cadeau 10 CHF,7,,,
144,Bon cadeau FDL,7,,,
145,Bon cadeau 5 CHF,7,,,
146,Bon cadeau 10 CHF,7,,,
147,Bon cadeau FDL,7,,,
148,Bon cadeau 5 CHF,7,,,
149,Bon cadeau 10 CHF,7,,,
150,Bon cadeau FDL,7,,,
151,Bon cadeau 5 CHF,7,,,
152,Bon cadeau 10 CHF,7,,,
153,Bon cadeau FDL,7,,,
154,Bon cadeau 5 CHF,7,,,
155,Bon cadeau 10 CHF,7,,,
156,Bon cadeau FDL,7,,,
157,Bon cadeau 5 CHF,7,,,
158,Bon cadeau 10 CHF,7,,,
159,Bon cadeau FDL,7,,,
160,Bon cadeau 5 CHF,7,,,
161,Bon cadeau 10 CHF,7,,,
162,Bon cadeau FDL,7,,,
163,Bon cadeau 5 CHF,7,,,
164,Bon cadeau 10 CHF,7,,,
165,Bon cadeau FDL,7,,,
166,Bon cadeau 5 CHF,7,,,
167,Bon cadeau 10 CHF,7,,,
168,Bon cadeau FDL,7,,,
169,Bon cadeau 5 CHF,7,,,
170,Bon cadeau 10 CHF,7,,,
171,Bon cadeau FDL,7,,,
172,Bon cadeau 5 CHF,7,,,
173,Bon cadeau 10 CHF,7,,,
174,Bon cadeau FDL,7,,,
175,Bon cadeau 5 CHF,7,,,
176,Bon cadeau 10 CHF,7,,,
177,Bon cadeau FDL,7,,,
178,Bon cadeau 5 CHF,7,,,
179,Bon cadeau 10 CHF,7,,,
180,Bon cadeau FDL,7,,,
181,Bon cadeau 5 CHF,7,,,
182,Bon cadeau 10 CHF,7,,,
183,Bon cadeau FDL,7,,,
184,Bon cadeau 5 CHF,7,,,
185,Bon cadeau 10 CHF,7,,,
186,Bon cadeau FDL,7,,,
187,Bon cadeau 5 CHF,7,,,
188,Bon cadeau 10 CHF,7,,,
189,Bon cadeau FDL,7,,,
190,Bon cadeau 5 CHF,7,,,
191,Bon cadeau 10 CHF,7,,,
192,Bon cadeau FDL,7,,,
193,Bon cadeau 5 CHF,7,,,
194,Bon cadeau 10 CHF,7,,,
195,Bon cadeau FDL,7,,,
196,Bon cadeau 5 CHF,7,,,
197,Bon cadeau 10 CHF,7,,,
198,Bon cadeau FDL,7,,,
199,Bon cadeau 10 CHF,7,,,
200,Bon cadeau FDL,7,,,